codigo_municipio,nombre_municipio,codigo_departamento,LATITUD,LONGITUD
23555,Planeta Rica,23,8.181108488,-75.68923803
23500,Moñitos,23,9.190515343,-76.11931709
23466,Montelíbano,23,7.866432635,-75.87533926
23464,Momil,23,9.265461621,-75.65090876
23419,Los Córdobas,23,8.823307063,-76.3430552
23417,Lorica,23,9.165034998,-75.90978124
23350,La Apartada,23,8.052218422,-75.28816022
23300,Cotorra,23,9.071460219,-75.75459276
23189,Ciénaga de Oro,23,8.841811894,-75.60779829
23182,Chinú,23,9.053287104,-75.37387363
23168,Chimá,23,9.11024941,-75.65237351
23162,Cereté,23,8.895667051,-75.87842391
23090,Canalete,23,8.7240958,-76.23779081
23079,Buenavista,23,8.191397953,-75.43382532
23068,Ayapel,23,8.265768688,-75.04868436
23001,Montería,23,8.584698016,-75.95055079
20787,Tamalameque,20,8.902075012,-73.7633962
20770,San Martín,20,7.937788454,-73.54436312
20750,San Diego,20,10.16952712,-73.2879827
20710,San Alberto,20,7.769815987,-73.47218888
20621,La Paz,20,10.24440562,-73.07824569
20614,Río de Oro,20,8.201070245,-73.48750127
20570,Pueblo Bello,20,10.41736874,-73.61450632
20550,Pelaya,20,8.764116734,-73.63295546
20517,Pailitas,20,8.938916143,-73.57247213
20443,Manaure,20,10.38027852,-73.00706275
20400,La Jagua de Ibirico,20,9.52099808,-73.32249338
20383,La Gloria,20,8.588002247,-73.61602384
20310,González,20,8.405516522,-73.37537309
20295,Gamarra,20,8.337726622,-73.70649199
20250,El Paso,20,9.683474681,-73.73833778
20238,El Copey,20,10.19995356,-73.91282064
20228,Curumaní,20,9.238771332,-73.48810861
20178,Chiriguaná,20,9.426648354,-73.54797894
20175,Chimichagua,20,9.27797765,-73.84697903
20060,Bosconia,20,9.946391309,-73.86628815
20045,Becerril,20,9.727732939,-73.25250522
20032,Astrea,20,9.510727925,-73.94214641
20013,Agustín Codazzi,20,9.949215908,-73.22358244
20011,Aguachica,20,8.248735219,-73.6227405
